Gloss,Carriols (normalized),Hesseling 1905,De Josselin de Jong 1926,Hesseling 1933,"Oldendorp 1996, 2000-2002",Oldendorp (in Stein 2002),Sabino 2012
farewell; hello; goodbye,adʒos,,adió,,adjo,,aǰos
banana,bakuba,,bakoba; bakuba,,bakove,,bakuba; bakoba
potato; tuber,bateta,bateta,bata; batata; batita,,,,batɛta; batita; patitʌ
white; Caucasian,blaŋku,blanko,blaṅku,,blanko,,blaŋku
ass (animal); hinny; mule,burika,borika; boerrik,burika,,borrikka,borrik; borrika,bruka
Black person born in Africa,busaːl,busael,busāl,,,,
flour,fanja,,faian; faien,,,,fanja; faria; farnja
fight; dispute; war; quarrel; argue (v.); struggle,gɛra,,gera,,geera; geraa,geera,gɛra
have (v.); past tense,ha,hab,hā; a,hab,ha; hab,,ha; hab
jew,hudio,hodio,,,hodio,hodio,
perfective,ka,ka,kā,,ka,,ka
completive; finish (v.); end (v.),kaba,kaba,kābā,,kabaa,kabaa,kaba
sleeping mat,kabaːn,kabaen,,kabaen,,,
horse,kabaj,kawai,kabái,,kawai; kabai,kawai; kabai,kabai; kawai
goat,kabrita,cabrita; kabrita,kabrita,,kabrit,kabrit,kabrita
necklace,kalala,kalala,,,,,
West Indian pumpkin,kaləbas,,kaləbas,,kalbasch,calbasche; calbaschbaum,
field,kamina,camina,kamina,,kamina,,
dress; skirt,kapoto,,kapoto,,kapoette,,kapoto; kapʌto
wagon; carriage; cart,karoʃi,,kaloši; karoši,,karosch; karosse; karosche,,karoči; garoči; karoši; karosse; karoch(e); karošin; karuši; kaloši
like (v.); love (v.),keːr,keer,,,keer,,
(agricultural) field; provision ground,kənuk,knuk,,,,,
okra,kiambo,geambo; gingambo,giambo; kiambo; kingambo; kinkambo,,,,kjambo; kiambo; kingamboe; geambo; giambo; gjambo; cheambo
godmother,komadu,,komadu,,,,
godfather,kompadu,,kompadu,,,,
crime,krim,,krim,,,,
whelk,kukəlus,,kokəlus,,,,kuklus; koklus
brave person,kuraːʃman,,,,koeraaschman; koeraaschiman,,
courage,kuraʃi,curagie,kuraši,,koeraaschi,,
run (v.); jump (v.),kuri,koerri,kuri,,koeri,koeri,kuri
wrap (v.),las,,las,,,,
but,maː,,mā,,maar,,ma
wasp,maːbunə,,masbondo,,marbuner,,
rage (v.),mak gɛraːs,,grās,,maak geraas,,
monkey spec.,makaku,,,makaku,,,
crushed sugarcane,makas,,mogá̄s,,makass,makass,
cripple; useless,makron,,,,makron,makron,
basket,makutu,makut; makutu; makoette,makutú; makút,,makoete,,makutu
molasses; syrup,malaʃi,,malaši,,malaši; malass; malaschi,,
run away (v.); wild,maro,maroon; marro,maro,,loop maroon,,maro
although,maski,"maski, maskee",,,maski,maski,
kill (v.),mata,martae; mattaan,mata,,mattaan,mattan,"mata, matʌ"
first person singular,mi,mi,mi; mē,,mi,,mi; mɛ
grind (v.),mula,mola,mula; mulā,,mola; moela,mola; moela,
many; much,muʃi,mussie; mueschi,muši,,moeschi,moeschi,"muči, muši"
insect; vermin,muskit,muskit,moskít,,moeskit,,
locative element; preposition,na,na,na,a,na,,na
negator,no,no,"na, nə, no, nu",,no,no,no; nu; na; ne; nʌ
not at all,nuŋgal,nogal,nuṅgal,,,,
unless,onosoː,onosoo,,,onoso,,
repel (v.); fend off (v.); fight back (v.); hinder (v.),paraː,parae,,,paraa,paraa,
give birth (v.); be born (v.),pari,parri; parie,,,pari,(ka) pari,
patience,paʃenʃa,patientie,,,patientia; paschenschia; paschientie,patientia; paschenschia,
dollar,patakon,,patakón,,,,patʌkon
divide (v.); separate (v.); share (v.); distribute (v.); hand out (v.),pati,partie,patí,,parti,parti,
careful,patikla,,patiklá; putiklá,,,,
duck,patpat,pat-pat,patpat,,patpat,,
jug; crock,pɔtʃi,,potji,,pot,,
shad (fish species),pehe,,pehe,,,,
poor,pobu,pover,pobu; pubu,pobre,pover,,poʌ
sprout (of a plant),ratuːn,,,,ratuhn,ratuhn,
mouse; rat,roto,rotto,roto,,rotto,,ratu
field; meadow; grassy plain,saban,savan; sawaen,sabán,,savanne,,
skirt; petticoat,saja ,saja,saja,,seye,seye,
sack; knapsack; purse; pocket,saku,sak,saku; sak,,sak; sakko,sakko,sak
lettuce,salaː,sala,,,,,
sangria,saŋgri,,,,sangri,sangri,
shoe,sapata,,sapatá̄,,,,
syrup,səropi,,səropi,,,,
hither; over here,sito,,sito,,,,
trash; dust,ʃuʃu,,,,schoeschoe,schoeschoe,
until,teː,tee,tē,,tee,tee,
breast; nipple; teat; udder; suck (v.),tete,tete,tete,,titte,,tɛtɛ; tɛte; titi
have sexual intercourse with (v.),toma,,toma,,,,
change (v.); exchange (v.),torka,torka,,,torka,torka,
effort; difficulty,traval,traval,,,travail,,
agitator,tredor,,,,tredoor,tredor,
