Gloss,Carriols IPA reconstruction,Poɾtugese,Spanish,Papiamentu,Santiago,Santome,SriLanka,Saramaccan,FáDAmbô,Principense,Ndyuka
𝟣ꜱᴛ ᴘᴇʀꜱᴏɴ ꜱɢ,mi,mĩ,mi,mi,ami,mi,eːʋ,mi,amu,ami,mi
agitator,tredor,tɾɐidoɾ,tɾaiðoɾ,trajdor,,bisu witʃi,tɾedoɾ,,,,
although,maski,puɾ majʃ kɨ,aunke,maske,ɐljas,agɔla,maske,,deke,,
ass (animal); hinny; mule,burika,burikɐ,borika,buriku,buɾu,buɾu,buɾu,bulìki,,buru,buliki
banana,bakuba,pɐkɔbɐ,platano,bakoba,bɐnanɐ,bana,,bakúba,dʒendʒa,bãna,bakuba
basket,makutu,mɐkutɐ,θesto,makutu,balɛj,kwali,pete,mánda,,mutɛtɛ,mutete
Black person born in Africa,busaːl,busaɫ,boθal,busa,,bɔsali,,,,,
brave person,kuraːʃman,kuɾɐʒozu,baljente,balente,bɐtʃɐɾe,klɔsɔ̃ fɛlu,ʋalante,,,,
breast; nipple; teat; udder; suck (v.),tete,tetɐ,teta,tete,mamɐ,mama,peːtu,bóbi,,petu,bon fu ati
but,maː,mɐʃ,peɾo,pero,ma,maʒi,mas,ma,maʒi,maʒi,ma
careful,patikla,pɐɾtikulaɾ,paɾtikulaɾ,partikular,pɐrtikulaɾ,akaka,,,,,
change (v.); exchange (v.),torka,tɾukaɾ,kambjaɾ,kambja,tɾokɐ,tlɔka,mudaː,tooká,tuːka,,
complete (v.); finish (v.); end (v.); end,kaba,ɐkɐbaɾ,akaβaɾ,kaba,kabɐ,kaba,kaba,"kabá, kaá",xaba,kaba,kaba
courage,kuraʃi,kuɾaʒẽ,koɾaxe,kuraʃi,koɾaʒi,kɔlaʒi,koɾad̠ʒeː,dégíháti,,,lasi ati
crime,krim,kɾimɨ,krimen,krimən,kɾimi,klimi,,,,,
cripple; useless,makron,mɐ̃ku,mankeɾon,inutil,mɐ̃ku,mɐ̃kele,laseɾdo,,,,
crushed sugarcane,makas,bɐgasu,bagaθo,bagas,,bagasu,,,,,
divide (v.); separate (v.); share (v.); distribute (v.); hand out (v.),pati,pɐɾtiɾ,paɾtiɾ,parti,pɐɾti,patʃi,apaːɾti,paatí,tɔlɔ,tɔlɔ,piiti
dollar,patakon,pɐtakɐ,patakon,pataka,pɐtaku,pataka,,,,,
dress; skirt,kapoto,kɐpɔtɨ,kapote,bisti,kɐpɔti; kɐpɔtɐ,kapɔtʃi,kabai,kóto,biʃi,,koto
duck,patpat,patu,pato,patu,patu,pata galu,ade,patupátu,pata,pata,
effort; difficulty,traval,tɾɐbaʎo,tɾaβaxo,trabow,tɾɐbaɟɐ,tɛ̃da,tɾaʋai,,taːba,tabwe,
farewell; hello; goodbye,adʒos,ɐdewʃ,aðjos,ajɔ,ɐdews,adezu,adeːo,adʒoísi,,,adyosi
field,kamina,kɐ̃pinɐ,kampiɲa,kampu,baɾsi,kɐ̃pu,kampal,kamían,motu,kãpu,
(agricultural) field,kənuk,,konuko,kunuku,,,,,,,
field; meadow; grassy plain,saban,sɐvɐnɐ,saβana,sabana,,,ʋaɾzeː,sabána,,,sabana
fight; dispute; war; quarrel; argue (v.); struggle,gɛra,gɛrɐ,gera,gera,gɛɾɐ,gɛla,gereː,féti,pɛza,luta,feti
flour,fanja,fɐɾiɲɐ,aɾina,hariɲa,fɐɾiɳɐ,fɐ̃ɲa,,fanía,faɲia,fjã,
give birth (v.); be born (v.),pari,pɐɾiɾ,paɾiɾ,pari,paɾi,pali,paɾeː,"paí, palí",pali,pwɛ:,
goat,kabrita,kɐbɾitɐ,kaβɾita,kabritu,kɐbɾitu,kabla,,kaabíta,xabaː,kaba,kaabita
godfather,kompadu,kõpadɾɨ,kompaðɾe,kompader,kumpadɾi,kõpa,,,,kõpwɛ,
godmother,komadu,kumadɾɨ,komaðɾe,komader,kumadɾi,kuma,,,,kumãde,
grind (v.),mula,mweɾ,moleɾ,mula,molɐ,mɔla,mueː,lalá,mla,dumu,mii
have (v.); ᴘᴀꜱᴛ ᴛᴇɴꜱᴇ,ha,ɐveɾ,aβeɾ,tin,,,,abi,,,abi
hither; over here,sito,sitju,sitjo,sitjo,sitju,ʃitu,aki,,,ʃitu,
horse,kabaj,kɐvalu,kaβaʝo,kabaj,kɐbalu,kabalu,kaʋalo,hási,xavalu,kavalu,asi
insect; vermin,muskit,muʃkitu,moskito,saŋgura ,muskitu,miʃkitu,moskito,,,miʃkitu,makisita
jew,hudio,ʒudew,huðio,hudiw,ʒudew,zude,,djú bákáa,zude,zude,dyu
jug; crock,pɔtʃi,pɔtɨ,pote,poti,pɔti,pɔtʃi,,búngu,oga,pɔtʃi,patu
kill (v.),mata,mɐtaɾ,mataɾ,mata,matɐ,mata,mataː,kíi,mata,mata,kii
lettuce,sala,sɐladɐ,ensalaða,salada,,sɛlada,salade,,,,
like (v.); love (v.),keːr,kɨɾeɾ,keɾeɾ,kjer,kɾe,kija,kereː,ké,,,
ʟᴏᴄᴀᴛɪᴠᴇ ᴇʟᴇᴍᴇɴᴛ; ᴘʀᴇᴘᴏsɪᴛɪᴏɴ,na,nɐ,en la,na,nɐ,ni,ntu,a,ntu,na,na
many; much,muʃi,mũj̃tu,mutʃo,mutʃu,mutu,mɔ̃tʃi; mũtu,mujtu,hía,muntu,mũtu,ipi
molasses; syrup,malaʃi,mɨlasu,melaθa,"stropi, sirop",mɛl,,mel,maási,,,
monkey,makaku,mɐkaku,mono,makaku,,,budʒi,makáku,,makaku,
mouse; rat,roto,ratu,raton,raton,ratu,latu,ɾato,mösimö́si,,uratu,alata
necklace,kalala,kulaɾ,koʝaɾ,"kadena, kòl",misɐ̃grɐ,,fugadoɾ,kónda,gian,kɔlã,kaala
not at all,nuŋgal,nũkɐ,nunka,nuŋka,nuŋkɐ,nɐ̃ta; nɐ̃tɐ̃,nonka,,,nũka,
ɴᴇɢᴀᴛɪᴠᴇ ᴘᴀʀᴛɪᴄʟᴇ,no,nɐ̃w̃,no,nɔ,nɔw,inɔ,na,ná,na,nn,ná
okra,kiambo,kjabu,kimbombo,gjambo,kjabu,ikjabu,,asila,,kjɛbu,okoo
patience,paʃenʃa,pɐsjẽnsjɐ,paθjenθja,pasenʃi,pɐʃẽʃɐ,paʃẽsa,pasensia,pasénsi,,paʃẽse,pasensi
poor,pobu,pɔbɾɨ,poβɾe,pobər,pɔbɾi,pɔbli,poːbiɾ,pootí,,pɔbi,pooti
potato; tuber,bateta,bɐtatɐ,patata,batata,bɐtatɐ,batata,aɾtaple,batáta,,batata,patata
ᴘᴇʀꜰᴇᴄᴛ ᴘᴀʀᴛɪᴄʟᴇ,ka,ɐkɐbaɾ,akaβaɾ,kaba,,,,kabá,,,kaa
rage (v.),mak gɛraːs,fɐzeɾ gɛraʃ,haθeɾ geras,rabja,,,,,,,
repel (v.); fend off (v.); fight back (v.); hinder (v.),paraː,pɐɾaɾ,paɾaɾ,para,paɾɐ,dumu,paɾaː,,paɾa,para,
run (v.); jump (v.),kuri,kureɾ,koreɾ,kore,kɔɾi,kole,kuɾaː,kulé,xole,kwe,
run away (v.); wild,maro,,θimaron,"hui, sali kore bai",,,fudʒi,,,,
sack; knapsack; purse; pocket,saku,saku,sako,saku,saku,saku,sako,sáku,saku,saku,saka
sangria,saŋgri,,sangría,saŋgria,,,,,,,
shad (fish species),pehe,pejʃɨ,pexe,piska,peʃi,piʃi,peːsi,,piʃi,peʃi,
shoe,sapata,sɐpatu,θapato,sapatu,sɐpatu,sapatu,papus,saapátu,sapatu,sapatu,pata
skirt; petticoat,saja,sajɐ,saja,saja,sajɐ,saja,,sája,,sɛja,pangi
sleeping mat,kabaːn,kɐbɐnɐ,kaβaɲa,kabana,,,,,,,
sparrowhawk,kukuba,gɐvjɐ̃w̃,gaβilan,gabilan,,,,gabián,,,
sprout (of a plant),ratuːn,rɨbẽto,retoɲo,sprʏjt,ɾɐbẽtu,vilɔtʃi,,,,,
syrup,səropi,ʃɐɾɔpɨ,jaɾaβe,stropi,mɛl,tɔniku,,,,,sopi
have sexual intercourse with (v.),toma,tumaɾ,tomaɾ,tuma,tomɐ,tɔma,toma,tumá,,,
trash; dust,ʃuʃu,suʒu,suθio,suʃi,ʃuʃu,suzu; uku,sud̠ʒo,súndju,sũzu,suzu,tyobo
unless,onosoː,ɐ nɐ̃w̃ seɾ,si no,a no ser,,,,,,,
until,teː,ɐtɛ,asta,te,ti; te,ɐ̃te,ate,"té, téé",ata,,te
wagon; carriage; car; taxi; cart,karoʃi,kɐrɔsɐ,karoθa,karosa,kaɾu,kaɾu,kaːɾ,wági,moto,karu,
wasp,maːbunə,mɐɾĩbõdu,aβispa,maribomba,,,,wasiwási,,,
West Indian pumpkin,kaləbas,kɐbasɐ,kalaβaθa,kalbas,,,,kaabási,,kabasa,kaabasi
whelk,kukəlus,kɔkɨɫuʃɨ,kokelutʃe,kokoliʃi,buzu,bũzu,,,,buzu,
white; Caucasian,blaŋku,bɾɐ̃ku,blanko,blaŋku,bɾaŋku,blɐ̃ku,bɾaːnku,wéti,bɐ̃ːŋku,bɐ̃ːku,weti
wrap (v.),las,lasu,laθo,las,tɾɐ̃sa,,,dimbolí,,,
